Standards ADJ Service ID 2,Services ADJ Service ID 2,Edited_Service_Name_EN,New Service ID,Edited_Service_Name_FR
,2016-2017-aafc-aac-1,aafc-aac - Farm Debt Mediation Service,aafc-aac - 01,aafc-aac - Service de médiation en matière d'endettement agricole
2017-2018-aafc-aac-001,2017-2018-aafc-aac-001,aafc-aac - Farm Debt Mediation Service,aafc-aac - 01,aafc-aac - Service de médiation en matière d'endettement agricole
,2016-2017-aafc-aac-2,"aafc-aac - AgriAssurance
 National Industry Association Component",aafc-aac - 02,aafc-aac - Programme Agri-assurance : Volet Associations nationales de l'industrie
2017-2018-aafc-aac-002,2017-2018-aafc-aac-002,"aafc-aac - AgriAssurance
 National Industry Association Component",aafc-aac - 02,aafc-aac - Programme Agri-assurance : Volet Associations nationales de l'industrie
,2016-2017-aafc-aac-3,"aafc-aac - AgriMarketing Program
 National Industry Association",aafc-aac - 03,aafc-aac - Programme Agri-marketing : Volet Associations nationales de l'industrie
2017-2018-aafc-aac-003,2017-2018-aafc-aac-003,"aafc-aac - AgriMarketing Program
 National Industry Association",aafc-aac - 03,aafc-aac - Programme Agri-marketing : Volet Associations nationales de l'industrie
,2016-2017-aafc-aac-4,"aafc-aac - AgriScience Program 
Projects
",aafc-aac - 04,aafc-aac - Programme Agri-science - projets
2017-2018-aafc-aac-004,2017-2018-aafc-aac-004,"aafc-aac - AgriScience Program 
Projects
",aafc-aac - 04,aafc-aac - Programme Agri-science - projets
,2016-2017-aafc-aac-5,"aafc-aac - AgriInnovate Program 
",aafc-aac - 05,aafc-aac - Programme Agri-innover
2017-2018-aafc-aac-005,2017-2018-aafc-aac-005,"aafc-aac - AgriInnovate Program 
",aafc-aac - 05,aafc-aac - Programme Agri-innover
,2016-2017-aafc-aac-6,aafc-aac - AgriInvest,aafc-aac - 06,aafc-aac - Agri-investissement
2017-2018-aafc-aac-006,2017-2018-aafc-aac-006,aafc-aac - AgriInvest,aafc-aac - 06,aafc-aac - Agri-investissement
,2016-2017-aafc-aac-7,aafc-aac - AgriStability,aafc-aac - 07,aafc-aac - Agri-stabilité
2017-2018-aafc-aac-007,2017-2018-aafc-aac-007,aafc-aac - AgriStability,aafc-aac - 07,aafc-aac - Agri-stabilité
,2016-2017-aafc-aac-8,aafc-aac - Domestic Statistics and Market Information Web,aafc-aac - 08,aafc-aac - Statistiques canadiennes et site Web d'information sur les marchés
2017-2018-aafc-aac-008,2017-2018-aafc-aac-008,aafc-aac - Domestic Statistics and Market Information Web,aafc-aac - 08,aafc-aac - Statistiques canadiennes et site Web d'information sur les marchés
,2016-2017-aafc-aac-9,aafc-aac - AgriRisk,aafc-aac - 09,aafc-aac - Agri-risques
2017-2018-aafc-aac-009,2017-2018-aafc-aac-009,aafc-aac - AgriRisk,aafc-aac - 09,aafc-aac - Agri-risques
,2016-2017-aafc-aac-10,aafc-aac - Career Focus Program,aafc-aac - 10,aafc-aac - Programme Objectif carrière
2017-2018-aafc-aac-010,2017-2018-aafc-aac-010,aafc-aac - Career Focus Program,aafc-aac - 10,aafc-aac - Programme Objectif carrière
,2016-2017-aafc-aac-11,"aafc-aac - AgriCompetitiveness
",aafc-aac - 11,aafc-aac - Programme Agri-compétitivité
2017-2018-aafc-aac-011,2017-2018-aafc-aac-011,"aafc-aac - AgriCompetitiveness
",aafc-aac - 11,aafc-aac - Programme Agri-compétitivité
,2016-2017-aafc-aac-12,aafc-aac - Agricultural Youth Green Jobs Initiative,aafc-aac - 12,aafc-aac - Initiative de stage en agroenvironnement
2017-2018-aafc-aac-012,2017-2018-aafc-aac-012,aafc-aac - Agricultural Youth Green Jobs Initiative,aafc-aac - 12,aafc-aac - Initiative de stage en agroenvironnement
,2016-2017-aafc-aac-13,"aafc-aac - Canadian Agricultural Adaptation Program 
",aafc-aac - 13,"aafc-aac - Programme canadien d'adaptation agricole
 (2014-2019)"
2017-2018-aafc-aac-013,2017-2018-aafc-aac-013,"aafc-aac - Canadian Agricultural Adaptation Program 
",aafc-aac - 13,"aafc-aac - Programme canadien d'adaptation agricole
 (2014-2019)"
,2016-2017-aafc-aac-14,aafc-aac - Agricultural Greenhouse Gas Program,aafc-aac - 14,aafc-aac - Programme de lutte contre les gaz à effet de serre en agriculture
2017-2018-aafc-aac-014,2017-2018-aafc-aac-014,aafc-aac - Agricultural Greenhouse Gas Program,aafc-aac - 14,aafc-aac - Programme de lutte contre les gaz à effet de serre en agriculture
,2016-2017-aafc-aac-15,aafc-aac - Market Access Single Window - International Trade Shows,aafc-aac - 15,aafc-aac - Guichet unique pour l'accès aux marchés - Salons commerciaux internationaux
,2016-2017-aafc-aac-16,aafc-aac - Market Access Single Window - Market Intelligence and Information Service,aafc-aac - 16,aafc-aac - Guichet unique pour l'accès aux marchés - Services de renseignements sur les marchés
2017-2018-aafc-aac-016,2017-2018-aafc-aac-016,aafc-aac - Market Access Single Window - Market Intelligence and Information Service,aafc-aac - 16,aafc-aac - Guichet unique pour l'accès aux marchés - Services de renseignements sur les marchés
,2016-2017-aafc-aac-17,aafc-aac - Market Access Single Window - Market Access Services,aafc-aac - 17,aafc-aac - Guichet unique pour l'accès aux marchés - Services d'accès aux marchés
